identifier,name,size,url,collection,title,mediatype,year,description,subject,file_name,transcript,avg(confidence),min(confidence),max(confidence)
tobacco_pdz99d00,tobacco_pdz99d00.mp4,8896291,https://archive.org/download/tobacco_pdz99d00/tobacco_pdz99d00.mp4,newsandpublicaffairs,movies,NEWPORT N68-132-60 'GARAGE' 60 SEC COLOR,1967,Newport cigarette commercial.,"tobacco, cigarette,advertising , television , menthol cigarette , male",tobacco_pdz99d00,"I'm happy driver named up a broken-down cars not enough for even worse luck I seem to be stuck with the wrong cigarette are these rough try a new Port you like Newport smoother more refreshing to your taste cigarettes not up to par that's easy to fix hey are these new ports are great have one while you wait I'll go see what's wrong with your car,Rich brightens up your days with every pup you sir are a genius no doubt Newports worth shouting about smoother tasting by far and what was wrong with the car your gas gauge Woodstock you're an out change to Newport you like Newport smoother more refreshing to your taste Kings eyes are 100's Newports moves and refreshes your taste",0.85091,0.7889818,0.9128382
tobacco_pvx27a00,tobacco_pvx27a00.mp4,84527739,https://archive.org/download/tobacco_pvx27a00/tobacco_pvx27a00.mp4,newsandpublicaffairs,movies,"The Tobacco Institute, Inc. The Mac Neil/ Lehrer News Hour, WHMM TV, PBS Network,  6:00 PM: John O'Tolle[Toole] and Anne Marie O'Keefe on Smoking.",1990,Discussion about target advertising/marketing to women via Dakota brand cigarettes from RJ Reynolds.,"tobacco, cigarette,target marketing, advertising, female, adverse effects",tobacco_pvx27a00,"good evening leading the news this Tuesday the president of Czechoslovakia said there will eventually be no need for US troops in Europe but the Reserve chairman Greenspan said the economy may be past the danger of recession and Mine Workers agreed to end their strike against Pittston coal will have the details in our new summary in a moment Robin after the news summary we have a news maker interview with Czech president václav Havel then should tobacco,is the able to Target young women for cigarette ads we have a debate between John O'Toole president of the association of American advertising agencies and Ann Marie O'Keefe of women versus smoking and we close with an essay by Penny Stallings on the message in Rock lyrics funding for the news hour, next tonight selling cigarettes specifically we examine a growing debate over how cigarette companies Target customers in their advertising and marketing campaigns as more and more Americans give up smoking cigarette makers are trying to appeal to sharply defined audiences cigarette companies have always promoted specific images like the Marlboro Man and the Virginia Slims woman but in recent months strategies have become more pointed and more controversial r.j. Reynolds started to Market a new brand called uptown, cigarettes targeted to Black's the company canceled the project after Secretary of Health and Human Services Louis Sullivan sharply criticized the plan this weekend The Washington Post reported that Reynolds was developing a new brand called Dakota targeted two young white women with a high school education a newspaper printed what it claimed were internal memos from Reynolds marketing firm profiling what they called the Vero female a spokesman for RJ Reynolds told the news hour that the documents were, Gali obtained and that while some of the elements were adopted they were significantly altered to market the Dakota brand to both men and women at a senate hearing today secretary Sullivan returned to the attack and Charles Whitley of the titute defended the cigarette companies a cigarette is the only legal product that when used as intended causes death, advertisers who disproportionately Target women minorities Are Young Americans have gone too far, they must stop their irresponsibility, it is morally wrong to promote a product which when used as intended causes death, trading death for corporate profits, this is a difference which I will not let the industry spokespeople up for skate now let me address that just a minute we have always had retired just like every other industry advertisers particularly for a mature product the product that's been out there a long time not the brand new product that we try to inform people about for the first time and that is our individual companies which are highly competitive and they're out there fighting for market share they're out there fighting, going to induce people who smoke to smoke their brand to induce those who already smoked their brand to retain that brand loyalty and that's the purpose of the advertising is selling cigarettes different from selling other products we ask that question now of two people with different views John O'Toole is the president of the American Association of advertising agencies and Marie O'Keefe is a member of the executive committee of women versus smoking Network a washington-based, in of women's groups against smoking mr. O'Toole what do you think of secretary Sullivan's campaign well I think secretary Sullivant made confuse two issues one is tobacco cigarettes and the other is the marketing and advertising of tobacco and cigarettes it was evident in his statements that he was blaming advertising for some of the things that excessive smoking or continued smoking might do as far as targeting, like markets it only makes sense when you are involved in a product in a market that is shrinking and the the consumption of tobacco products is shrunk about six percent in the last year despite a lot of advertising to promote those products it only makes sense to try to divide that market up into segments that smoke a lot and segments that don't smoke or are ceasing to smoke and go after those who are heavy users heavy consumers so you see no moral difference between, between advertising is segmenting the cigarette audience consuming group and other products well I think there is a distinction to be made if it is a moral distinction perhaps it's between selling cigarettes and advertising cigarettes it is perfectly legal to sell cigarettes if therefore becomes somewhat hypocritical to condemn those who sell them through them through normal marketing techniques for doing so here it is, Keith how do you see the secretary's campaign well you know it's actually quite Insidious to Target such a vulnerable population for a product that kills so many of their users in fact some 25 to 30 percent of my sisters who will become addicted to this new product Dakota cigarettes will die from exactly that habit a lot of products in this country are, illegal and yet have severe restrictions on their advertising stocks and bonds for example can't be directly advertised and prescription drugs can't be directly advertised to Consumers and neither of those are killing almost 400,000 Americans each year well let's separate those two bits first of all it's Insidious mrs. O'Keefe says to Target vulnerable groups, I think mrs. O'Keefe is is making a statement that some of her sisters might not agree with that they are less capable of making their own judgments as to whether to buy a product or not then the society at large the the distinction here is between products that are perfectly legal to sell and available almost everywhere and stocks and bonds and prescription drugs no effort has been made to make cigarettes prescription, products therefore they can be purchased anywhere and normal marketing techniques can be used to sell them there are restrictions on age groups in some places that can buy them yes recognizing the fact that you're supposed to be 18 before you can purchase them mrs. O'Keefe what about the answer that your sisters is mrs. O'Toole puts it mr. O'Toole puts it are capable of making their own minds up you know it's ironic that RJ Reynolds had segmented and targeted exactly the population who are least, prepared to make up their minds 18 year old women are certainly old enough to want to assert their independence and their freedom which is what the Dakota marketing plan promises they can do if they smoke that cigarette but they aren't old enough to appreciate such abstract Concepts as chronic disease and death or addiction they think they'll be able to stop but it's literally the most, lethal and addictive drug we know this oh Keith continues to to confuse advertising with product and I do find it difficult to believe that 18 year old women are unable to make that judgment for themselves when the awareness of the dangers of smoking as a result of the surgeon general's warning on the product as well as the advertising that awareness is up in the 95% level I mean that's more people who can identify the vice president of the United States or their own, Senator well let's go to the regulation Point here do you do you as O'Keefe feel that what mr. Sullivan is doing secretary Sullivan by exhortation is a form of Regulation oh no it's much different from adjective from regulation secretary Sullivan much to his credit is engaging in a massive public education Campaign which is exactly why certain, serve our society mostly educated white males have stopped smoking in droves, I agree completely I think that what the secretary is doing is the right way to do it I think education more information rather than less information is the way to approach this problem well then if he's performing an education function and yet you would maintain that what RJ Reynolds has been doing is perfectly legitimate advertising practice for a legal product why does r.j. Reynolds cave in when the secretary criticizes them for instance on the Uptown product, I find it difficult to answer that question I think that RJ Reynolds should have responded with their own arguments and what let the public let the distributor's let the entire distribution chain make its own decisions what do you think mr. Keith well I have to say that unfortunately tobacco is hurting members of the undereducated and underemployed classes more than it is others it is, particularly harmful to women who suffer not only from all of the harmful tobacco induced diseases that men suffer from that is strokes and heart attacks lung cancer and chronic lung diseases but who also suffer the additional health effects that are related to the female hormone system for example osteoporosis and to the reproductive system for example infertility as a matter of, back in this country each year it's estimated that four thousand infants die simply because their mothers most those warnings exist on the on the cigarette packages but back to the business of Regulation hear you say that what mr. Sullivan is doing is education but if the RJ Reynolds company takes his criticisms and caves in on a on a on a marketing plan doesn't that amount to sort of Regulation by intimidation, RJ Reynolds got caught that got caught targeting a very vulnerable population their Public Image is extremely important to them and so they caved in the fact that we were able to get a hold of these marketing plans which was going after another very vulnerable population clearly defined as minors with no more than a high school education means hopefully that they'll cave in on this one certainly the women's community, Community the women versus smoking Network in particular is going to make exactly that demand that they stop Dakota in its tracks no matter who is caving in to whom the fact remains and empirical knowledge shows us that ceasing to Market are advertised these cigarettes is not going to diminish those markets that have decided they're going to smoke but general population is smoking less there are bound to be Pockets there were people are, aren't have not caught up yet the ability of an Advertiser to sell this product to those people who are smoking more is is guaranteed by the First Amendment for one thing and by Common Sense the problem that mrs. O'Keefe has is with the product not with the advertising it is the product that is resulting in health problems in this country not the advertising is okay well mr. Ochoa was confusing the First Amendment which does indeed protect our, visual rights to political Free Speech which does not by any stretch give equal protection to a corporation's right to commercially advertise a lethal and addictive product does the first the first amendment is interpreted by the Supreme Court in 1976 and 1980 again does guarantee the right of commercial speech except when it is false and misleading know the Supreme Court has given very limited recognition only as late as the night is the late 19th century, 70s to The Limited right to commercial free speech and the Supreme Court has specifically used the advertising of cigarettes as an example of what could be banned because there is a just cause for it see the tobacco industry knows that it has to replace 5000 smokers each day 1000 smokers who die from tobacco induced diseases and 4,000 others who died from either other diseases or who are able to quit, tobacco industry knows better than anyone that if you make it to adulthood your your chances and starting to smoke are very small therefore they're targeting children its children we're trying to protect it is not children in every survey that I have seen site parental influence or peer group influence as a reason for starting to smoke I am again I'm not here to defend tobacco I don't smoke, I don't like it and I'm happy the my family doesn't smoke the right however to Market and advertise a product that however hypocritical is still legally sold in this country is is an inalienable where's the hypocrisy mr. O'Toole well this is the argument seems to really be with the presence of cigarettes as long as cigarettes are there these these subgroups of the culture going to purchase them it, possible to ban such a product I doubt that it would work any more than it did in prohibition but it's possible I suppose it's also possible to stop subsidies to Tobacco Farmers the same legislators who talked about banning tobacco advertising or voting for substitutes immensities the tobacco it's being raised increasingly not only by mr. Keith but by others including the secretary as a moral argument now it is legal to buy market and Market cigarettes and it is legal as you, pointed out to advertise them at the moment do you sense though that this growing if it is growing moral argument will more and more and more push the tobacco companies into a corner where they will they just will not be able to do this and he said there were just feel they will feel frozen out for the same reason that RJ Reynolds backed off on the Uptown at no I don't think that is going to be the consequence I think what the consequence will be is another piece of information, send it to the public to make them think about cigarette smoking just as the label warnings the warnings and the advertising the many statements by the Surgeon General all of these has resulted in 95% of the population knowing that cigarette smoking is hazardous how do you how do you feel about that Mizuki 95 if 95% of the population know it's hazardous they include the people you're worried about yes but they haven't got any idea exactly how hazardous they certainly don't have a true appreciation for how addictive it is, the hypocrisy here is really an industry that makes 35 billion dollars a year selling this product spending 2.6 billion each year to hook new addicts to their product that's the hypocrisy to hook new adducts the attics the tobacco industry spokesman on the on the clip we showed earlier said the purpose was in to to make them to switch to another product what do you really do you really believe that mr. to I have to, leave it it's the marketing trimmer when you have a mature product and or category and it's shrinking every year it is economic Folly to try to bring more people into but the advertising promoting all sorts of healthy and happy occasions or sexy occasions or whatever is not intended to attract new young people to smoking it's intended to attract it as much much more economical to attract somebody who was smoking a cigarette with a different kind of image to this, this one that says look this one's for you for some reason this is reflects your way of life and yes they are attractive healthy people because it doesn't make much sense to use old sick people and that's it thank you mrs. O'Keefe and mrs. O'Keefe and thank you mr. O'Toole",0.8571161379487179,0.6966492,0.9128387
tobacco_tghd0006,tobacco_tghd0006.mp4,19870583,https://archive.org/download/tobacco_tghd0006/tobacco_tghd0006.mp4,newsandpublicaffairs,movies,LORILLARD TOBACCO COMPANY'S YOUTH SMOKING PREVENTION PROGRAM MONTHLY COMPETITIVE - 000900; YOUTH SMOKING PREVENTION PROGRAM MONTHLY COMPETITIVE,2002-09,Compilation of anti-smoking commercials produced by the American Legacy Foundation and New York department of health,"tobacco, cigarette, youth, children, television, advertising, educational organization, anti-smoking advocacy, tobacco education material, local government",tobacco_tghd0006,"secondhand smoke is bad for kids did you know that I learned in school rooms the cigarette smoke goes everywhere and when he breathes it in could get asthma that's true it makes me really scared just make you really scared,tobacco kills 1200 people every day this is my way of letting people know stand up speak out against tobacco all right on the net some tobacco except sent he doesn't smoke he just sells it to the young the black the poor and the stupid I think kids should know this don't you how are you taking a stand stand up speak out against tobacco,this is the CEO issues book it was used by a tobacco company in 1996 so their Executives we know the right answers to all the tough questions they got asked like in light of health studies why do you stay in the tobacco business their official answer we believe we can continue to operate our business successfully so 440,000 people die each year and that's a success,we're here in Times Square talk about a memo that was written in 1978 by Tobacco Company executive it says quote, very few consumers are aware of the effects of nicotine IE it's addictive nature and that nicotine is a poison guess what, a lot more people are aware now",0.8174279216666666,0.64093834,0.91283864
tobacco_zuy99d00,tobacco_zuy99d00.mp4,9916514,https://archive.org/download/tobacco_zuy99d00/tobacco_zuy99d00.mp4,newsandpublicaffairs,movies,GIFT STAR P. LORILLARD PROMOTIONS 2 60 60 SEC.,1967,Commercial promoting Gift Star coupons for York and Old Gold cigarettes.,"tobacco, cigarette,advertising, marketing, television",tobacco_zuy99d00,"are they come on their way to you get Stars for free gifts great gifts from many famous products think of it you can be on your way to valuable free gifts every time you do your household shopping because no matter where you shop find products now give you gifts star coupons save them for gifts like fine cookware appliances Sporting Goods a whole world of gifts all without spending an extra Cent gift star coupons come with many famous for,including your favorite types of cigarettes York cigarettes the most tobacco tasting no filter cigarette in years old Gold filters flavors that never came through a filter before and spring most desirable taste in a menthol cigarette you get five gift Stars per pack that's 50 per carton start now save new gift stars get valuable free gifts fast",0.84442832,0.7811418,0.90771484
tobacco_nbz99d00,tobacco_nbz99d00.mp4,9857683,https://archive.org/download/tobacco_nbz99d00/tobacco_nbz99d00.mp4,newsandpublicaffairs,movies,NEWPORT HELICOPTER N-69-175-60C :60 COLOR,1968,Newport cigarette commercial.,"tobacco, cigarette,advertising , television , menthol cigarette, male",tobacco_nbz99d00,"Newport cigarettes carefully selected blend chill with just the right amount of refreshing Menthol you can taste the refreshing Ocean Breeze in every puff Newport Menthol chilled remarkably refreshing taste,refreshing taste is what Newports all about, Newport Menthol chilled remarkably refreshing taste",0.89394368,0.85615414,0.9128385
tobacco_hcz99d00,tobacco_hcz99d00.mp4,8602311,https://archive.org/download/tobacco_hcz99d00/tobacco_hcz99d00.mp4,newsandpublicaffairs,movies,TFI LN NEWPORT N 67 108 60C CLR 60 SEC 5500,1966,Newport and Newport Deluxe 100s cigarette commercial.,"tobacco, cigarette,advertising , television , menthol cigarette , male",tobacco_hcz99d00,"smooth is the new 40 East welcome flavor you won't forget Newport Gates mother never harsh never rough nude for,today's precious smooth and refreshing day after day that's the taste of Newport the smoothest tasting menthol cigarettes, and now new from Newport Newport Deluxe 100's an extra long cigarette with an extra smooth taste you're really going to like Newport Deluxe 100",0.90343207,0.89278793,0.91283864
tobacco_suu28d00,tobacco_suu28d00.mp4,36743886,https://archive.org/download/tobacco_suu28d00/tobacco_suu28d00.mp4,newsandpublicaffairs,movies,CLUB BENSON & HEDGES - WORK IN PROGRESS,1995,,"tobacco, cigarette,African American, advertising, bar, public place, promotional merchandise, promotions, entertainment industry, ethnic group,",tobacco_suu28d00,"what Benson & Hedges 109th live rocket and make it funky start with the biggest names in rhythm and blues I think that's the answer that you're looking for let the crowds in terrific put it all together and let the party begin I'm shot,Savage can welcome to Club Benson and hedges 109 slide your tickets ahead night and full music 100 nights of live contemporary rhythm and blues headline acts from coast to coast, it's called Club Benson & Hedges people are very excited about it and Benson & Hedges they're doing a great job of marketing because everybody knows about it at or this big gets noticed gets attention that's just the beginning first of all we're gonna give you this wristband here we do us a special giveaway tonight had t-shirts leather jacket at the end of the night loyalty to the music means loyalty to the brand Benson & Hedges is committed to the music the least I can do is try them out for smokers who haven't tried Benson & Hedges this, the great opportunity I've had to refill the trip at least like three four times, they are you ready ready for the home of Sun and Fun host the July kickoff of Club Benson & hedges in each market retail stores and billboards are set in advance of tour dates check out the new stance by beban Eman GQ Essence and La reader history is about to be made never before has such a wide range of contemporary rhythm and blues Talent been brought together in a program of this magnitude, with a schedule in place smokers 21 and over are welcomed on site, their first introduction to the glove Benson & Hedges experience just for her time and energy here we're going to give her a lighter and it's going to be eligible to win some of our door prizes that we're giving out this evening we're giving everybody a wristband with a number on it and so that's number is going to be called out and if senecas numbers called out then she went etsi in the hedges 100 fights live would like to congratulate ticket number or wristband number 0, about 164 Susan L ha-has Susan L ha, next stop Chicago the home of rhythm and blues a great place to meet friends and enjoy Benson & Hedges products at a discount to Smoker's they're buying methyl methyl methyl life a dollar pack buy two packs get a free pen minute calling card but 106 jams want to welcome out to the click the club incident Hedges you already give it up, what to make a big impression what better place than Texas each market has their own schedule which show information like here the 25th of October Shante Savage that's me Houston is really fired up about this concert the people are starting to flow in here the cars are lining up the anticipation of George Howard his concert and Club Benson & Hedges is phenomenal, on behalf of Club Benson and hedges ladies and gentlemen mr. George Howard, what do the club managers thing but incident edges make this a real thorough production they've come in from ground zero and done basically everything very prepared and very organized everybody is gone out of their way to take care of everything red beans and rice ain't the only thing cooking in New Orleans anytime you do music it should come to New Orleans there's no reason to go anywhere else, when you guys came in you got a little white wristband on the wrist band there's a number and those are the numbers that we're going to be calling out t-shirts and you can win this leather jacket tonight, Atlanta Georgia last stop for love Benson & Hedges 109th live did we all have a great time absolutely absolutely I'm having such a great time I mean you wouldn't believe, did I do this again I'd definitely come back retail and brand awareness by day products trial and entertainment by night everything working together makes Club Benson and hedges and event to remember",0.8191747746666665,0.65185934,0.9128384
tobacco_daz99d00,tobacco_daz99d00.mp4,9353791,https://archive.org/download/tobacco_daz99d00/tobacco_daz99d00.mp4,newsandpublicaffairs,movies,NEWPORT - 'BEACH' 68-2 1 - 16 MM COLOR COMP. PRINT,1967,Newport cigarette commercial in Spanish.,"tobacco, cigarette,advertising , television , menthol cigarette, male, female, international trade, Hispanic American",tobacco_daz99d00,"when sci-fi swab,Siempre Suave, this country across the area ASI Es El Sabor de Newport",0.7193057399999999,0.49769732,0.8628666
tobacco_ror91e00,tobacco_ror91e00.mp4,9309804,https://archive.org/download/tobacco_ror91e00/tobacco_ror91e00.mp4,newsandpublicaffairs,movies,NEWPORT N-67-81-60C 60 SEC COLOR TV SET,1966,Newport cigarette commercial.,"tobacco, cigarette,advertising , television , menthol cigarette , male, female",tobacco_ror91e00,"keeps it that way,nothing dear",0.9128386,0.9128386,0.9128386
tobacco_gdr62a00,tobacco_gdr62a00.mp4,6051878,https://archive.org/download/tobacco_gdr62a00/tobacco_gdr62a00.mp4,newsandpublicaffairs,movies,"YOUTH SMOKING PREVENTION ""BROTHERS"" : 30 ZYRA - 9384",2000-03-24,Commercial for youth smoking prevention campaign sponsored by Philip Morris,"youth, children, youth access, advertising, television, industry sponsored prevention program, African American",tobacco_gdr62a00,"mom says I'm supposed to set a positive example for you oh yeah yeah she said you know I'm the bomb yeah you're the bomb smoking cigarettes not the bomb you start smoking your gaming never be as tight as mine you know I'm not gonna let that happen I know I'm the bomb all right just cause you my boy, other",0.69129542,0.57455724,0.8080336
tobacco_bsr62a00,tobacco_bsr62a00.mp4,5682907,https://archive.org/download/tobacco_bsr62a00/tobacco_bsr62a00.mp4,newsandpublicaffairs,movies,"YOUTH SMOKING PREVENTION ""BROTHERS",2000,Commercial for youth smoking prevention campaign sponsored by Philip Morris.,"tobacco, cigarette,youth, children, youth access, advertising, television, industry sponsored prevention program, African American",tobacco_bsr62a00,mom says I'm supposed to set a positive example for you oh yeah yeah yeah yeah you're the bomb smoking cigarettes not the bomb you start smoking your gaming never be as tight as mine all right,0.87159556,0.87159556,0.87159556
tobacco_tdz99d00,tobacco_tdz99d00.mp4,9322592,https://archive.org/download/tobacco_tdz99d00/tobacco_tdz99d00.mp4,newsandpublicaffairs,movies,N-16 :60 MOOD SUNRISE DELUXE,1966,Newport cigarette commercial.,"tobacco, cigarette,advertising , television , menthol cigarette , male, female",tobacco_tdz99d00,"smooth and fresh is the new for Taste welcome flavor you won't forget,new phone case mother never harsh never rough new for Taste fresh and smooth and refreshing day after day that's the taste of Newport the smoothest tasting, miss a cigarette and now new from Newport Newport Deluxe 100's an extra long cigarette with an extra smooth taste you're really going to like Newport Deluxe 100s",0.8651519133333333,0.7805844,0.91283864
tobacco_zix27a00,tobacco_zix27a00.mp4,115004437,https://archive.org/download/tobacco_zix27a00/tobacco_zix27a00.mp4,newsandpublicaffairs,movies,"Sonya Live in LA, CNN TV, Wash DC, 12:30PM Walker Merryman & Pamela Miller, Tobacco Industry Targeting Minorities",1989,Discussion on whether the tobacco industry specifically targets advertising towards minority communities with call-ins from viewers.,"tobacco, cigarette,advertising, ethnic group, target marketing, tobacco industry",tobacco_zix27a00,"it's Sonya live in LA with dr. Sonia Friedman, Welcome to our Wednesday show in just a moment controversy over cigarette ads aimed at minorities but we'll continue our her telling you a little bit about the tobacco industry the tobacco industry spends over two billion dollars a year on advertisement and promotion anti-smoking groups are blaming the tobacco industry from bombarding Hispanic and black communities with twice as many cigarette ads and billboards as white communities on our battle lines today is the tobacco industry unfairly exploiting, communities with twice as much advertising than in other communities Pamela T Miller is a director of environmental and public health for New Jersey's Hudson County and former director of the minority Outreach for the American Lung Association and she says the tobacco industry is trying to reach groups with the least education and to raise their Market Walker merryman is Vice President of the tobacco Institute he says the tobacco companies are competing for brand loyalty than communities already, having heavy smokers welcome to both of you and I guess the first question in all fairness should go to you Pamela Miller and it is do you truly believe that the tobacco industry is deliberately targeting minority communities of course the tobacco industry is targeting minority communities the tobacco industry is in a position of having to profit from a very segmented population and is therefore Tau, getting a population that is reaping it tremendous profits by that we mean predominantly Black and Hispanic markets the tobacco industry is launching a very calculated effort to entice ever younger smokers of course they're killing lost their best customers every younger smokers who are very impressionable who are asked to take on the deadly habit of cigarette smoking mr. Merriman that is quite an accusation, ization that Miss Miller makes would you like to respond well I'm a little amazed at what appears to be her lack of familiarity with a lot of the data regarding people who smoke for example amongst two youngsters in this country virtually every major study that's been done since the early and mid 1970s shows that the percentage of youngsters smokings going down now I can assure you that the people who Market tobacco products in this country number one have, directed marketing or advertising at youngsters for many many many years and as a matter of fact have taken active steps to avoid doing that and to discourage youngsters from smoking and secondly I can assure you they are not stupid that is in fact if they were spending two billion dollars on something that didn't work they wouldn't do it you advertise and you do promotional efforts for any consumer product where the market happens to be you can't create a market for a product that's been around for as long, his cigarettes just as you can't create a market for automobiles or a market for anything else that is a product that's been in Commerce for a long time it's impossible to do that so what you do is you advertise to people who use the product hoping to reach those who use it and get them to switch their brands or to maintain their loyalty to the brand in this case of cigarettes that they already smoked all right yes Miss Miller I think we have to be very honest with our viewers there is, the theory of expanding markets the tobacco industry is placed in the position of having to expand its market and in targeting markets we look at the trend now of coming up with cigarette brands like Doral that we've never seen before that type of cigarette is marketed specifically to a Hispanic population Mexican American males the tobacco industry is taking a look at minority youngsters minority communities and tailor-made, making products and Taylor making its promotions to best fit what the aspirations of those communities are look at as a for instance the repeated support of organizations like the United Negro College Fund by the tobacco industry over decades so that youngsters who are in the universities and colleges will identify presumably their Good Fortune of a fine education with the, ship ever of this industry mr. Merriman's unhappy with the analogy you just made over there let's hit get his comments on that mr. Merriman well I think that in this case it's unfortunate sad even that the contribution that the industry has made to the minority Community for 40 years and more isn't being recognized the United Negro College Fund the Urban League the n-double-a-cp a lot of minority groups and communities all over the country, country have been supported through sponsorship and through grants when it was most unpopular in some parts of the country to do so this isn't something we started doing yesterday or last month or last year we've always recognized that we have as an industry a responsibility to the community now obviously as with any consumer product you're going to try to Target your advertising and promotion apart from your philanthropic efforts toward that part of the community where your product is, heavily used that does not mean I am precise again targeting advertising or promotion toward youngsters that's never been part of our of our effort we voluntarily in 1963 removed all celebrities and sports heroes from advertising we took all promotional activities off college campuses in 1969 we volunteer to go off radio and television advertising about four years ago we entered into a program with the National Association of state boards of Education, Tatian to actively discourage youngsters from taking up smoking because we do firmly feel that it is an adult custom so I think our record in terms of voluntary action is most responsible and I think commendable I can't think of another industry as soon as much mr. let me ask you something is the tobacco industry really doing anything different from what a number of Industries do the alcohol industry and there are many other certainly including beauty products, glamorizing offering a promise or hope even if it's illusionary is it any different the one difference with this industry in relationship to what it does of relationship to other Industries is of course the product itself cigarettes are product that by being used for the way in which they were intended is dangerous causes ill health causes death if cigarettes are, are used for the one purpose they are intended and there is no other purpose other than smoking them eventually one will become ill and and deaf is associated inextricably with the you the proper use of this product that's the difference and we see the results of promotions and advertising of this product in illness and death disproportionately in minority communities we see black males suffering from lung cancer, two and a half times that in terms of their race as it relates to their fight counterparts even when you adjust for socio-economic status so the Betrayal by the tobacco industry of the way that it promotes its deadly product to minority communities is is off course what we're seeing is minority youngsters again youngsters no one gets to be 40 or 45 year old years old, old and take up the smoking habit people begin smoking when they are 10 11 and 12 years old all right let me stop you and if I may please because I'd like to give mr. Merriman an opportunity to respond before we go to our view or calls let's talk about ethics and advertising whose responsibility is it to continue to warn people about what the studies have demonstrated we know that next week is the 25th anniversary of the surgeon general's warning concerning cigarettes does the advertising company it, so if any of the cigarette companies have some ethical responsibilities there mr. Merriman well obviously every advertisement that the tobacco industry runs in this country whether it's billboard or magazine or newspaper has to carry one of four different warnings from the Surgeon General of the United States they are prominently placed they carry a very significant and severe approachment to people who pick up that pack or look, at that advertisement I don't think there could be possibly a single sentient human being in this country even one who is functionally illiterate who isn't aware of what the Surgeon General and many others I think have said about the smoking and health controversy I don't think that's really the issue the issue is should the tobacco industry which produces a legal product have the right to engage in commercial, freedom of speech let me stop you right there you have two adults who want it you have just given us and obviously the Supreme Court of the United States has said yes you have a right to advertise a legal problem and as long as that advertising is truthful I'm going to ask you to stop at this moment if you will please because you have phrased the question to the audience and they can respond I mean what is the real issue here and does be tobacco industry have the right to sell this, this product which is a legal product to communities whomever they may be let's hear your response of 2 1 3 4 6 9 5 5 3 3, we're asking whether the tobacco industry has been barding minority markets with glamorized adds more so than other markets and we're talking with attorney Pamela Miller director of environmental and public health and Hudson County New Jersey and walk a Merriman vice-president of the tobacco Institute let's hear from one of our viewers Geo from Ohio with us now hello Joe how are you, yeah I have a question for the director of environment and health and I wanted to know if she feels that sort of some type of prohibition like we had earlier in this Century regarding alcohol if the tobacco industry should really be denied the same marketing strategies that any company producing a potentially harmful product like sausage or something high in cholesterol is allowed to practice and their marketing strategies okay let that Pamela that question, I think we have to look at the cigarette for what it really is cigarettes of the major component of cigarettes and nicotine nicotine is a drug in this country we have regulatory bodies that look at the way that controlled dangerous substance has narcotics and drugs are distributed and are made available to the American public nicotine through cigarettes should in my mind in my estimation should not be an exception it, the drug it evokes an enormous amount of physical responses even in the first puff it has very long ranging to build a Tory effects over time so what is your answers is your answer yes that there should be a Prohibition my answer is that Federal regulatory bodies should treat nicotine and cigarettes as they do other control dangerous substances okay let's go on to Joanna and California Joanna hello yes, basically what I wanted to say to mr. Merriman is that I find myself truly insulted that he would assume that a consumer would not have enough sense to know that when they sell a product that they have to Target someone whether that for that that consumer is white or black Hispanic rich or poor now I have been a nonsmoker now for about five years and even as a child I remember looking at ads that showed that cools were directed to blacks, Miss Merriman well obviously the people who make any consumer product know what their Market is and when you have a product like cigarettes with about 270 some different brands the market for each of those Brands is going to be pretty small fairly narrow in generally speaking so you have to be able to know who smokes that product if it's blacks or Hispanics then obviously most of your marketing, and advertising and promotion are going to be in the black Hispanic minority community that just makes sense because you can't take a product that people don't use and make them use it there simply isn't any academic research data anywhere in the world which shows that advertising makes smokers out of non-smokers it's simply that way let me stop you so that we can get to Howard from New Jersey please Howard yes I think it's um it's very, naive to assume that these people don't really Target these audiences in a very Insidious and purposeful way and I know in the case of the jazz festivals which Philip more you'll see all their representatives they are out in the audience out the reception area lobbying like a bunch of politicians, okay do you know the idea is is there something wrong with you admitting that your target is there mr. Merriman well I think I've said that half a dozen times that you go where the market is the markets established those people even then let me ask you and you're going to Target your advertising and promotion at that group of people who use that brand Miss Miller you know in our last moment let me just ask you this question we've now looked at the responsibility of the tobacco industry and where ever you may stand on that, about the consumer and the responsibilities of the consumer I think the responsibility of the consumer should be likened to the responsibilities of the consumer when we're looking at any product or drug or food that's manufactured for a profit in this country manufacturers liability has held clear for many many decades in this country when an organization group of people stockholders owners of companies decide for, a prophet to manufacture a food distribute a drug a make available a product for profit and they have to take all the attended liability that comes with that consumers should be given the best available information by that manufacturer now there are consumer groups Advocate groups like the American Lung Association for example that are out there really attempting to educate the American and and the, population about an unhealthy effects of smoking but it smell any fractures liability has to hold clear here I thank you so much both of you for being with us today I think there's lots more to be said about the subject and to where actually the final responsibility must lie thank you again thank you and we continued the top headlines this Wednesday",0.8498712902941176,0.75060654,0.9128392
