identifier,name,size,url,collection,mediatype,title,description,subject
tobacco_uym02b00,tobacco_uym02b00.mp4,134666159,https://archive.org/download/tobacco_uym02b00/tobacco_uym02b00.mp4,newsandpublicaffairs,movies,BAT Video Compilation,"Compilation of commercials and promotional clips for three cigarette brands manufactured by BAT: State Express 555, Lucky Strike, and Benson & Hedges.","tobacco, cigarette, advertising, marketing, event sponsorship, sports sponsorship, television, international trade, public place"
tobacco_oqa72i00,tobacco_oqa72i00.mp4,68935213,https://archive.org/download/tobacco_oqa72i00/tobacco_oqa72i00.mp4,medicalheritagelibrary,movies,"""CONCERT"" 970510 DALLAS COVERAGE (SCHEDULE ENCLOSED)",,"tobacco, cigarette"
tobacco_qda77e00,tobacco_qda77e00.mp4,63736500,https://archive.org/download/tobacco_qda77e00/tobacco_qda77e00.mp4,newsandpublicaffairs,movies,WE ASK - IT'S THE LAW FIELD TAPE NUMBER 3,Raw footage for a video about a new law in Ohio restricting sales of tobacco products to minors.,"tobacco, cigarette,youth, youth access, smoking prevention, public relations, government, local ordinance"
tobacco_bou03f00,170500050_512kb.mp4,4288658,https://archive.org/download/tobacco_bou03f00/170500050_512kb.mp4,medicalheritagelibrary,movies,Capri - Taste Test,Capri cigarette commercial.,"tobacco, cigarette, television , advertising , menthol cigarette"
tobacco_umo23e00,VTS_01_1_512kb.mp4,32642288,https://archive.org/download/tobacco_umo23e00/VTS_01_1_512kb.mp4,newsandpublicaffairs,movies,1. Quality Improvement Using Binder Technology; 2. New Product Development Through Binder Technology; 3. Nicotine Removal by Supercritical Fluid Extraction; 4. Nicotine Removal Through Genetic Engineering,Compilation of segments about Philip Morris' innovations in cigarette design and controlling the nicotine levels in tobacco.,"tobacco , cigarette , cigarette design , cigarette additive , cigarette ingredient , nicotine , research activity , laboratory research , tobacco leaf , biologically active substance , genetic engineering , product development"
tobacco_byv27a00,tobacco_byv27a00.mp4,830410840,https://archive.org/download/tobacco_byv27a00/tobacco_byv27a00.mp4,newsandpublicaffairs,movies,House Committee in Energy & Comm.  Tobacco Ad which May Conflict with the Federal Cigarette Labeling & Advertising Act  Tape 1 of 6,"Hearing regarding Philip Morris' sponsorship of the National Archives Bill of Rights Tour, questions whether or not such sponsorship violates the Cigarette Labeling Act.","tobacco, cigarette,tobacco manufacturer, government, testimony, advertising, event sponsorship"
tobacco_aex27a00,tobacco_aex27a00.mp4,37751720,https://archive.org/download/tobacco_aex27a00/tobacco_aex27a00.mp4,newsandpublicaffairs,movies,Jamestown Anniversary '62,A video on the history of Jamestown tobacco.,"tobacco, cigarette,tobacco farming, social behavior"
tobacco_nhx27a00,tobacco_nhx27a00.mp4,1555585743,https://archive.org/download/tobacco_nhx27a00/tobacco_nhx27a00.mp4,newsandpublicaffairs,movies,"The Tobacco Institute Reports on Smoking/Smokeout (Local News) Nov 18-19 ,& 20, 1986",Report on the Great American Smokeout. Interviews with Larry Hagman spokesperson for the Smoke Out. Report on increase in lung cancer amongst women. Report on Philip Morris' response to the Smokeout called the Great American Smoker which includes a smoker's kit.,"tobacco, cigarette,anti-smoking advocacy, secondhand smoke, adverse effects, lung cancer"
tobacco_cav17j00,tobacco_cav17j00.mp4,3507284,https://archive.org/download/tobacco_cav17j00/tobacco_cav17j00.mp4,newsandpublicaffairs,movies,Dr. Wakeham Video,,"tobacco, cigarette"
tobacco_tlx27a00,tobacco_tlx27a00.mp4,284340471,https://archive.org/download/tobacco_tlx27a00/tobacco_tlx27a00.mp4,newsandpublicaffairs,movies,"The Tobacco Institute  60 Minutes, WDVN TV(9), CBS Network, Wash DC,  7 PM:  Smokers/Nonsmokers",Report on smoking restriction legislation across the country. Focuses on California's Proposition P and Minnesota's Clean Indoor Air Act.,"tobacco, cigarette,smoking restriction, local ordinance, anti-smoking advocacy, public policy, secondhand smoke"
tobacco_aga21j00,tobacco_aga21j00.mp4,131423196,https://archive.org/download/tobacco_aga21j00/tobacco_aga21j00.mp4,newsandpublicaffairs,movies,KOOL 1 MINUTE RACES,,"tobacco, cigarette"
tobacco_jmx27a00,tobacco_jmx27a00.mp4,40501409,https://archive.org/download/tobacco_jmx27a00/tobacco_jmx27a00.mp4,medicalheritagelibrary,movies,"Jolly Ann Davidson/Tom Lauria, Tobacco Institute"" Take Five WIBW-TV/Topeka  5:00 PM","Interview with Jolly Ann Davidson about the ""Helping Youth Say No"" and ""It's The Law"" campaigns and a segment on youth smoking.","tobacco, cigarette, youth, industry strategy, youth access, peer influence"
tobacco_amp91f00,VTS_01_1_512kb.mp4,23727752,https://archive.org/download/tobacco_amp91f00/VTS_01_1_512kb.mp4,newsandpublicaffairs,movies,Compilation of commercials for and against tobacco tax referendums,Compilation of commercials for and against tobacco tax referendums in Arizona and Colorado and an anti-youth smoking commercial targeting the Joe Camel promotions campaign.,"tobacco , cigarette , excise tax , advertising , referendum , political activity , voting , anti-smoking advocacy, youth"
tobacco_pix27a00,tobacco_pix27a00.mp4,141151624,https://archive.org/download/tobacco_pix27a00/tobacco_pix27a00.mp4,newsandpublicaffairs,movies,"""Surgeon General's Smoking Report News WAGA-TV 5PM","News segment about the newest report from the Surgeon General on smoking & health and the Tobacco Institute's retaliatory ""Enough is Enough"" campaign.","tobacco, cigarette,anti-smoking advocacy, public health statistics, industry strategy"
tobacco_dum02b00,VTS_01_1_512kb.mp4,130658983,https://archive.org/download/tobacco_dum02b00/VTS_01_1_512kb.mp4,medicalheritagelibrary,movies,"""Smoke and Mirrors""",Program investigates the connection between smoking and health and how tobacco companies mislead the public about the hazards of their products.,"tobacco, cigarette, lung cancer, cancer, industry response, television, tobacco related health concerns, tobacco industry employee, tobacco industry scientist, tobacco sales, industry sponsored research, laboratory research, lawsuit, lawyer, legal activity, safer cigarette"
tobacco_dum02b00,VTS_01_2_512kb.mp4,43861399,https://archive.org/download/tobacco_dum02b00/VTS_01_2_512kb.mp4,medicalheritagelibrary,movies,"""Smoke and Mirrors""",Program investigates the connection between smoking and health and how tobacco companies mislead the public about the hazards of their products.,"tobacco, cigarette, lung cancer, cancer, industry response, television, tobacco related health concerns, tobacco industry employee, tobacco industry scientist, tobacco sales, industry sponsored research, laboratory research, lawsuit, lawyer, legal activity, safer cigarette"
tobacco_udr62a00,tobacco_udr62a00.mp4,21364919,https://archive.org/download/tobacco_udr62a00/tobacco_udr62a00.mp4,newsandpublicaffairs,movies,YOUTH SMOKING PREVENTION MULTIPLE SPOTS -  TAPE NUMBER 2,"Compilation of commercials for youth smoking prevention campaign Think. Dont Smoke sponsored by Philip Morris.; VARI, ARCHIVE LOCATION VARIANCE SHEET","tobacco, cigarette,youth, children, youth access, anti-smoking advocacy, television, industry sponsored prevention program, familial relation"
tobacco_ztm02b00,VTS_01_1_512kb.mp4,128541344,https://archive.org/download/tobacco_ztm02b00/VTS_01_1_512kb.mp4,medicalheritagelibrary,movies,"""Tobacco as a grave environmental health hazard""",Kenyan TV program about the secondhand smoke.,"tobacco, cigarette, secondhand smoke, smoker, non-smoker, tobacco related health concerns, public place, indoor air quality, smoke constituent, legal right, warning label, lung cancer, advertising, tobacco manufacturer"
tobacco_ztm02b00,VTS_01_2_512kb.mp4,98004247,https://archive.org/download/tobacco_ztm02b00/VTS_01_2_512kb.mp4,medicalheritagelibrary,movies,"""Tobacco as a grave environmental health hazard""",Kenyan TV program about the secondhand smoke.,"tobacco, cigarette, secondhand smoke, smoker, non-smoker, tobacco related health concerns, public place, indoor air quality, smoke constituent, legal right, warning label, lung cancer, advertising, tobacco manufacturer"
tobacco_qar62a00,tobacco_qar62a00.mp4,76386313,https://archive.org/download/tobacco_qar62a00/tobacco_qar62a00.mp4,newsandpublicaffairs,movies,YOUTH SMOKING PREVENTION ANTI-DRUG TEEN REEL,"Compilation of anti-drug commercials.; VARI, ARCHIVE LOCATION VARIANCE SHEET","tobacco, cigarette,advertising, public relations, public service announcement, drug addiction, drug use, biologically active substance"
tobacco_vap72a00,tobacco_vap72a00.mp4,672634197,https://archive.org/download/tobacco_vap72a00/tobacco_vap72a00.mp4,newsandpublicaffairs,movies,"910821 - 910822 C101, 102, 105 [Inframetrics, 08/21/91]","Silent footage, taken with an infrared imaging camera, of cigarettes burning. This video can be viewed upon request.","tobacco, cigarette,laboratory research"
tobacco_arz20j00,tobacco_arz20j00.mp4,2381754,https://archive.org/download/tobacco_arz20j00/tobacco_arz20j00.mp4,newsandpublicaffairs,movies,DEF-0665.MPG,,"tobacco, cigarette"
tobacco_nmy99d00,VTS_01_1_512kb.mp4,62999860,https://archive.org/download/tobacco_nmy99d00/VTS_01_1_512kb.mp4,newsandpublicaffairs,movies,Excise Tax (Master),Video directed to Lorillard employees encouraging involvement in a letter writing campaign against Bill Clinton's proposed increase in the federal excise tax to help pay for increased access to health care.,"tobacco , cigarette , excise tax , tobacco industry employee , working class , business activity , health care activity , insurance , grass roots lobbying"
tobacco_jcw27a00,tobacco_jcw27a00.mp4,56587157,https://archive.org/download/tobacco_jcw27a00/tobacco_jcw27a00.mp4,newsandpublicaffairs,movies,"Fire Safety for the Hearing Impaired: ""Silent Response""","Safety awareness video on how to work better with the hearing impaired [for firefireghters, EMTs, etc.].","tobacco, cigarette, special populations, public awareness, industry sponsorship"
tobacco_pgw27a00,VTS_01_1_512kb.mp4,20926818,https://archive.org/download/tobacco_pgw27a00/VTS_01_1_512kb.mp4,newsandpublicaffairs,movies,"Smoking in Public Places: WISH-TV, Indianapolis;  Brennan Moran & John Fox",News segment on proposed legislation in Indiana to restrict smoking in public places as well as Indianapolis based insurance company American United Life's planned total smoking ban at it's headquarters.,"public place, workplace, legislation, local ordinance, insurance, employee rights, smoking restriction"
tobacco_nfw27a00,VTS_01_1_512kb.mp4,105162190,https://archive.org/download/tobacco_nfw27a00/VTS_01_1_512kb.mp4,medicalheritagelibrary,movies,Tobacco Institute Speaker's Program,Video made by the Tobacco Institute about their Spokesman Program showing video clips from many interviews all over the nation.,"tobacco, cigarette, industry strategy"
tobacco_mzy27a00,VTS_01_1_512kb.mp4,10646313,https://archive.org/download/tobacco_mzy27a00/VTS_01_1_512kb.mp4,medicalheritagelibrary,movies,“We Card” program in South Dakota,"Two news segments about the newly implemented ""We Card"" program in South Dakota.","tobacco, cigarette, youth access, retail outlet"
tobacco_tbw27a00,tobacco_tbw27a00.mp4,61853665,https://archive.org/download/tobacco_tbw27a00/tobacco_tbw27a00.mp4,newsandpublicaffairs,movies,Michigan Citizens for Fair Taxes 5 :30 Spots for 3/3/94 Focus Groups,"(Poor Audio) Ads in opposition to Proposal A, a proposed tax increase in Michigan. ""Vote No on Proposal A""","tobacco, cigarette,taxation, proposed legislation"
tobacco_fzq91f00,tobacco_fzq91f00.mp4,115026900,https://archive.org/download/tobacco_fzq91f00/tobacco_fzq91f00.mp4,newsandpublicaffairs,movies,"1) Surgeon General -- TI Press Conf. re: Surgeon Gen'l report about to be released  Washington DC, 2) Black Woman Smoking a Cigarette","At the National Press Club news conference the Tobacco Institute announced its request for the Department of Health and Human Services investigation of attempts by government officials to censor scientific discussion, misrepresent scientific findings for political reasons, and interfere with academic freedom. Part 3 (questions are difficult to hear). (Part 1 on Bates TIFLTAPE157).  See also Bates 2500009362.","tobacco, cigarette,Surgeon General, secondhand smoke, industry sponsored conference, legal activity, lung cancer, workplace, public place, government agency, research activity"
tobacco_ply99d00,VTS_01_1_512kb.mp4,85602677,https://archive.org/download/tobacco_ply99d00/VTS_01_1_512kb.mp4,newsandpublicaffairs,movies,Loews Lorillard 20th Anniversary Celebration,"Video celebrating the twentieth anniversary of the merging of the Loews and Lorillard corporations. Using the theme, ""Lorillard is the very best,"" the video presents Lorillard's history through advertising and its recent advances in brand development and production. Employees sing.","tobacco , cigarette , promotions , advertising , sales , production , tar , low yield cigarette , mass media , movie , radio , television , tobacco industry employee"
tobacco_kon79e00,VTS_01_1_512kb.mp4,50413643,https://archive.org/download/tobacco_kon79e00/VTS_01_1_512kb.mp4,newsandpublicaffairs,movies,Thomas Osdene Deposition Preparation,"Thomas Osdene, Director of Science and Technology at Philip Morris, practices speaking in front of a group in preparation for his deposition.","tobacco , cigarette , legal activity , lawsuit"
tobacco_jxw27a00,VTS_01_1_512kb.mp4,34488195,https://archive.org/download/tobacco_jxw27a00/VTS_01_1_512kb.mp4,medicalheritagelibrary,movies,Airline Smoking,Report on the federal ban that prohibits smoking on airline flights of two hours or less.,"tobacco, cigarette, smoking restriction, airplane, public policy"
tobacco_idy27a00,tobacco_idy27a00.mp4,17327943,https://archive.org/download/tobacco_idy27a00/tobacco_idy27a00.mp4,newsandpublicaffairs,movies,Tobacco Institute: Public Service Announcement,"1968 message about the cigarette controversy from the Tobacco Institute, offers free booklet.","tobacco, cigarette, public service announcement, industry strategy"
tobacco_mjw99d00,VTS_01_1_512kb.mp4,126172605,https://archive.org/download/tobacco_mjw99d00/VTS_01_1_512kb.mp4,newsandpublicaffairs,movies,"House Committee on Health and the Environment, Waxman - Kessler Hearing, Tape Number 2 [Parts 1-2]","Hearing conducted by the House Committee on Health and the Environment on the Food and Drug Administration's proposal to classify nicotine as a drug and regulate its use in cigarettes.

<a href=""http://www.archive.org/details/tobacco_mjw99d00a"" rel=""nofollow"">Click Here to View Part 1</a>

<a href=""http://www.archive.org/details/tobacco_mjw99d00b"" rel=""nofollow"">Click Here to View Part 2</a>","tobacco , cigarette , Congress , hearing , addiction , nicotine , tobacco related health concerns , youth , animal subject , tar , biologically active substance , tobacco industry"
tobacco_nvy99d00,VTS_01_1_512kb.mp4,77362844,https://archive.org/download/tobacco_nvy99d00/VTS_01_1_512kb.mp4,newsandpublicaffairs,movies,Portfolio Testing Mall / Grand Central Edit Master,"Video provides a step by step explanation of advertising portfolio testing including on-the-street interviews in front of New York City's Grand Central Station, the selection of participants, and discussions with them about advertising at New Jersey's Garden City Mall.","tobacco , cigarette , marketing research , demographics , cigarette brands , advertising"
tobacco_axj52b00,tobacco_axj52b00-1.mp4,168233055,https://archive.org/download/tobacco_axj52b00/tobacco_axj52b00-1.mp4,newsandpublicaffairs,movies,R.J. REYNOLDS TOBACCO COMPANY CAMEL CIGARETTE 16MM COMMERCIAL TRANSFERS REEL #11 LENGTH 52:30 11/17/94 (941117). RUNNING TIME 0:55:08.,,"tobacco, cigarette"
tobacco_axj52b00,tobacco_axj52b00-2.mp4,173229387,https://archive.org/download/tobacco_axj52b00/tobacco_axj52b00-2.mp4,newsandpublicaffairs,movies,R.J. REYNOLDS TOBACCO COMPANY CAMEL CIGARETTE 16MM COMMERCIAL TRANSFERS REEL #11 LENGTH 52:30 11/17/94 (941117). RUNNING TIME 0:55:08.,,"tobacco, cigarette"
tobacco_wey27a00,tobacco_wey27a00.mp4,9993455,https://archive.org/download/tobacco_wey27a00/tobacco_wey27a00.mp4,newsandpublicaffairs,movies,Social Cost Media Tour: Robert Tollison,News clip regarding proposal to raise cigarette tax by 30 cents per pack.,"tobacco, cigarette, excise tax, proposed legislation"
tobacco_vxp23e00,tobacco_vxp23e00.mp4,66977066,https://archive.org/download/tobacco_vxp23e00/tobacco_vxp23e00.mp4,newsandpublicaffairs,movies,PM BLUES 'P.M. BLUES SALES FILM' REV.,Video about PM Blues menthol cigarettes launch campaign.,"tobacco, cigarette"
tobacco_tyw27a00,tobacco_tyw27a00.mp4,45229088,https://archive.org/download/tobacco_tyw27a00/tobacco_tyw27a00.mp4,newsandpublicaffairs,movies,"""Environmental Tobacco Smoke"" News 4 at Five WTMJ-TV/Milwaukee 5:00pm",Discussion regarding secondhand smoke.,"tobacco, cigarette,airplane, secondhand smoke, local ordinance"
tobacco_may27a00,tobacco_may27a00.mp4,7812767,https://archive.org/download/tobacco_may27a00/tobacco_may27a00.mp4,medicalheritagelibrary,movies,"Tobacco Institute/Passive Smoking"" Action News 42 WBMG-TV (CBS) Birmingham, 10-10:30PM",Report on Tobacco Institute news conference to raise doubts about the efficiency of the EPA's draft report on secondhand smoke.,"tobacco, cigarette, secondhand smoke, industry strategy, government agency"
bwp23e00,VTS_01_1_512kb.mp4,28626024,https://archive.org/download/bwp23e00/VTS_01_1_512kb.mp4,newsandpublicaffairs,movies,Annual Stockholders' Meeting Multi-Video,"Presentation prepared for shareholders' meeting with images of Philip Morris companies' products (tobacco, food, beer, and real estate) drawn from commercials and promotional films.  Both the United States and the international divisions are represented.  It also includes images of sports and event sponsorship including auto racing, skiing, soccer, tennis, sailing, diving and country music.  Musical soundtrack with no narration.  (There is a high pitched tone present for most of the video.)","tobacco , cigarette , television , advertising , cigarette , alcoholic beverage , food , international trade , event sponsorship , sports sponsorship , business activity , corporation , promotions"
tobacco_hxi52b00,VTS_01_512kb.mp4,249016298,https://archive.org/download/tobacco_hxi52b00/VTS_01_512kb.mp4,medicalheritagelibrary,movies,Daytona 500,"Daytona 500 race, includes interview with Harry Gant.","male, smokeless tobacco, television, advertising, sports sponsorship, public space"
tobacco_vyi52b00,VTS_01_512kb.mp4,250211795,https://archive.org/download/tobacco_vyi52b00/VTS_01_512kb.mp4,medicalheritagelibrary,movies,USST 1979 Superstars Rodeo,"Copenhagen-Skoal Rodeo Superstars Championship, includes commercials for smokeless tobacco.","sports sponsorship, public space, smokeless tobacco, marketing"
